Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
NOT_FOUND	Bł. Czesława Górażdże		Bł. Czesława	Górażdże	Bł. Czesława|ul. Dworcowa 1|47-077 Górażdże	opolska	Kamień Śląski			NOT_FOUND
NOT_FOUND	Bł. Don Orione Ostojów		Bł. Don Orione	Ostojów	Bł. Don Orione|Ostojów 45a|26-130 Ostojów|woj. świętokrzyskie	radomska	Skarżysko Kamienna	świętokrzyskie		NOT_FOUND
Bł. Doroty z Mątow	Dorotowo		Bł. Doroty z Mątow|Dorotowo 75|11-034 Dorotowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztynek	warmińsko-mazurskie	ChIJrzpf_9SAHUcRFIuUbkilCwQ	AMBIGUOUS
Bł. Doroty z Mątów	Elbląg	http://www.parafia.blogoslawionadorota.org/	Bł. Doroty z Mątów|ul. Rawska 16a|82-300 Elbląg|woj. warmińsko-mazurskie	elbląska	ELBLĄG - POŁUDNIE	warmińsko-mazurskie	ChIJf6HtUMFM_UYR3-3L4pwcXXs	OK
Bł. Doroty z Mątów	Gdańsk	http://www.parafiajasien.gda.pl/	Bł. Doroty z Mątów|Gdańsk Jasień ul. Kartuska 349|80-175 Gdańsk|woj. pomorskie	gdańska	Gdańsk Siedlce	pomorskie	ChIJt5rW_jZ0_UYRfM6kWIFK9Cg	OK
bł. Edmunda Bojanowskiego	Gostyń	http://www.ebojanowski.pl/	bł. Edmunda Bojanowskiego|ks. Jana Twardowskiego 8-10|63-800 Gostyń|woj. wielkopolskie	poznańska	Gostyń	wielkopolskie	ChIJ31geyhgMBUcRX3hng7Dur3g	OK
bł. Edmunda Bojanowskiego	Warszawa		bł. Edmunda Bojanowskiego|ul. Kokosowa 12|02-974 Warszawa	warszawska	Warszawa-Ursynów		ChIJ2a0jjGQtGUcR0Po4mgN8lps	OK
Bł. Edmunda Bojanowskiego i Św. Antoniego Padewskiego	Rumia	http://www.ebrumia.pl/	Bł. Edmunda Bojanowskiego i Św. Antoniego Padewskiego|Rumia ul. Aleksandra Fredry 24|84-230 Rumia|woj. pomorskie	gdańska	Reda	pomorskie	ChIJ9WOLpyal_UYRv8XaV3f2jdA	OK
bł. Edwarda Detkensa	Warszawa	http://www.lasbielanski.pl/kontakt	bł. Edwarda Detkensa spośród Stu Ośmiu Męczenników|ul. Dewajtis 3|01-815 Warszawa|woj. mazowieckie	warszawska	Warszawa-Bielany	mazowieckie	ChIJuTuLL3_JHkcRFPyaSyvqUAY	OK
Bł. Franciszki Siedliskiej	Elbląg	http://www.siedliska.fc.pl/	Bł. Franciszki Siedliskiej|ul. Sadowa|82-300 Elbląg|woj. warmińsko-mazurskie	elbląska	ELBLĄG - POŁUDNIE	warmińsko-mazurskie	ChIJ4b_6_-hM_UYRtu_ERBWKroU	OK
Bł. Franciszki Siedliskiej	Olsztyn	http://www.franciszkasiedliska.olsztyn.pl/	Bł. Franciszki Siedliskiej|ul. Biskupa Wilczyńskiego 7|10-686 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn IV - Jaroty	warmińsko-mazurskie	ChIJ3fBtHJN44kYR5H5lV4leq70	OK
Bł. Hiacynty i Franciszka	Kielce		Bł. Hiacynty i Franciszka|ul. Piekoszowska 352|25-645 Kielce|woj. świętokrzyskie	kielecka	Kielce-Południe	świętokrzyskie	ChIJz8I8W5MnGEcRKeCqsXkr5qs	AMBIGUOUS
Bł. Honorata Koźmińskiego	Biała Podlaska	http://parafia-honorata.pl/	Bł. Honorata Koźmińskiego|ul. Terebelska 50 A|21-500 Biała Podlaska|woj. lubelskie	siedlecka	Biała Podlaska-Północ	lubelskie	ChIJ44x8U0mRIUcRzm2WgGNSYlM	OK
Bł. Honorata Koźmińskiego	Lesznowola	http://parafia-lesznowola.pl/	Bł. Honorata Koźmińskiego|ul. Piaseczyńska 7|05-600 Lesznowola|woj. mazowieckie	warszawska	Grójec	mazowieckie	ChIJ_S2VnxkjGUcROS_svEpdmoY	OK
Bł. Honorata Koźmińskiego	Będzin		Bł. Honorata Koźmińskiego|ul.Konopnickiej 11a|42-506 Będzin	sosnowiecka	Czeladź-Św. Stanisława BM		ChIJPbxZqjTRFkcR-B_xTrVsudc	OK
Bł. Honorata Koźmińskiego	Mrągowo	http://www.honorat.cba.pl/	Bł. Honorata Koźmińskiego|ul. Olsztyńska 16|11-700 Mrągowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Mrągowo II	warmińsko-mazurskie	ChIJs-4v3-IZ4kYR4r7E2q8NMR8	OK
Bł. Honorata Koźmińskiego	Janiszew		Bł. Honorata Koźmińskiego|Janiszew 34|26-600 Janiszew|woj. mazowieckie	radomska	Radom-Zachód	mazowieckie	ChIJTzR72ORYGEcR7MqnVTHyejw	OK
Bł. Honorata Koźmińskiego	Chrośla	http://www.diecezja.waw.pl/chrosla/	Bł. Honorata Koźmińskiego|ul. Żwirowa 2|05-311 Chrośla|woj. mazowieckie	warszawsko-praska	Mińsk Mazowiecki-Św.Antoniego	mazowieckie	ChIJV-pHJOQrH0cRnnDIPlsGj00	OK
Bł. Jakuba Strzemię B, Św. Stanisława Bpa	Lubaczów		Bł. Jakuba Strzemię B, Św. Stanisława Bpa|ul. Kościuszki 2|37-600 Lubaczów|woj. podkarpackie	zamojsko-lubaczowska	Lubaczów	podkarpackie	ChIJjWCdSihaO0cRf4rx02E9s_M	OK
Bł. Jana XXIII Papieża	BARTOSZYCE		Bł. Jana XXIII Papieża|ul.Wojska Polskiego 4|11-200 BARTOSZYCE|woj. warmińsko-mazurskie	ordynariat polowy	Toruń III	warmińsko-mazurskie	ChIJM7HH5w1X4kYR96DrQZkaEe4	OK
Bł. Jerzego Matulewicza	Pasłęk		Bł. Jerzego Matulewicza|ul. M. Kopernika 28|14-400 Pasłęk|woj. warmińsko-mazurskie	elbląska	PASŁĘK II	warmińsko-mazurskie	ChIJIelE0BCw4kYR5SUFkJdPa5w	OK
Bł. Jerzego Matulewicza	Konin	http://matulewicz.konin.pl/	Bł. Jerzego Matulewicza|ul. Jana Pawła II 93|62-510 Konin|woj. wielkopolskie	włocławska	Konin II	wielkopolskie	ChIJd_DWOCQ3G0cRH1sKMlPmgLc	OK
bł. Jolenty	Gniezno	http://www.jolenta.pl/	bł. Jolenty|ul. Wierzbiczany 10|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie	ChIJjXnizTqRBEcRzzTAPeSu_5A	OK
Bł. Józefa Pawłowskiego z grona >108< Męczenników	Włoszczowa	http://nowaparafiawloszczowa.pl/	Bł. Józefa Pawłowskiego z grona >108< Męczenników|ul. Różana 1 B|29-100 Włoszczowa|woj. świętokrzyskie	kielecka	Włoszczowa	świętokrzyskie	ChIJp364_1FkF0cRP51qFcFSy_U	AMBIGUOUS
Bł. Karoliny	Rzeszów	http://www.bl-karolina.eu/	Bł. Karoliny|ul. Kościelna 15A|35-505 Rzeszów|woj. podkarpackie	rzeszowska	Rzeszów-Południe	podkarpackie	ChIJTbewQHf7PEcRGzQutGCyDGA	OK
Bł. Karoliny	Biskupiec Reszulski	http://archwarmia.pl/parafie/parafie/biskupiec-reszelski-parafia-b-ogos-awionej-karoliny-kozkowny/	Bł. Karoliny|ul. Warszawska 13|11-300 Biskupiec Reszulski|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Biskupiec Reszelski	warmińsko-mazurskie	ChIJX_Nx_SFt4kYR59yW6erTL6g	OK
Bł. Karoliny Kózka	Wola Radłowska	http://www.wolaradlowska-wiz.diecezja.tarnow.pl/	Bł. Karoliny Kózka|Wola Radłowska 44|33-133 Wola Radłowska|woj. małopolskie	tarnowska	Radłów	małopolskie	ChIJMXgMLWWAPUcRZD_nflZX_A4	OK
bł. Karoliny Kózki	Połupin	http://parafia-polupin.pl/	bł. Karoliny Kózki|ul. Słoneczna 10a|66-600 Połupin|woj. lubuskie	zielonogórsko-gorzowska	Krosno Odrzańskie	lubuskie	ChIJ5ZZmEbQ3BkcRSr0R7ZUtMQ8	OK
Bł. Karoliny Kózkówny	Szczepocice		Bł. Karoliny Kózkówny|Szczepocice 71a|97-500 Szczepocice|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie	ChIJK5w4gw6rEEcR0G_2TA5p79Y	OK
Bł. Karoliny Kózkówny	Białobrzegi	http://parafiabialobrzegi.pl/parafia/	Bł. Karoliny Kózkówny|ul. Wczasowa 24|05-127 Białobrzegi|woj. mazowieckie	warszawsko-praska	Warszawa-Tarchomin	mazowieckie	ChIJWSuQKy3HHkcRO32ZYRLnmQQ	OK
Bł. Karoliny Kózkówny BM	Wanaty	http://kuriaczestochowa.pl/parafie/dekanaty/porajski/wanaty-bl-karoliny-kozkowny-bm/	Bł. Karoliny Kózkówny BM|Wanaty ul. Warszawska 29|42-260 Wanaty|woj. śląskie	częstochowska	PORAJSKI	śląskie	ChIJfRGvfqjMEEcR-jeXDNYDxL0	OK
NOT_FOUND	Bł. Ks. Komandora Władysława Miegonia CHEŁM		Bł. Ks. Komandora Władysława Miegonia	CHEŁM	Bł. Ks. Komandora Władysława Miegonia|ul.Tubakowska 2|22-102 CHEŁM|woj. lubelskie	ordynariat polowy	Straż Graniczna	lubelskie		NOT_FOUND
bł. ks. Stefana Wincentego Frelichowskiego	Toruń	http://www.parafia-frelichowski.pl/	bł. ks. Stefana Wincentego Frelichowskiego|ul. Szubińska 4|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń IV	kujawsko-pomorskie	ChIJnTY2sX81A0cRhkm3r7ohYUU	OK
Bł. Marceliny Darowskiej	Buraków	http://www.parafiawburakowie.pl/	Bł. Marceliny Darowskiej|ul. Sobieskiego 2a|05-092 Buraków|woj. mazowieckie	warszawska	Kampinos	mazowieckie	ChIJ_Tovz93JHkcRqVFOmWz542k	OK
bł. Marii Karłowskiej	Toruń	http://www.karlowska.republika.pl/	bł. Marii Karłowskiej|ul. Konstytucji 3-go Maja 52|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń III	kujawsko-pomorskie	ChIJW4ZnjULLHEcRaS8lmMFCU1U	OK
bł. Matki Teresy z Kalkuty	Koszalin	http://www.diecezjakoszalin.pl/	bł. Matki Teresy z Kalkuty|Staszica 38|75-499 Koszalin	koszlińsko-kołobrzeska	Koszalin		ChIJb-Ja0xnNAUcRlzumEUpKh9s	OK
Bł. Matki Teresy z Kalkuty	Kalisz	http://www.matkateresa.pl	Bł. Matki Teresy z Kalkuty|ul. Szewska 1|62-800 Kalisz	kaliska	kaliski I		ChIJwaZhhI_FGkcRAv8m6qY23YU	OK
Bł. Matki Teresy z Kalkuty	Kobyłka		Bł. Matki Teresy z Kalkuty|Kobyłka	warszawsko-praska	Kobyłka		ChIJU8K8lRnQHkcRhdGQrOyXohU	OK
Bł. Męczenników Podlaskich	Tłuszcz		Bł. Męczenników Podlaskich|ul. Klonowa 2|05-240 Tłuszcz|woj. mazowieckie	warszawsko-praska	Tłuszcz	mazowieckie	ChIJO_jhy3veHkcRXzaRxc72FTA	OK
bł. Michała Kozala	Bydgoszcz	http://diecezja.bydgoszcz.pl/2009/02/21/bydgoszcz-b-michaa-kozala/	bł. Michała Kozala|ul. Nakielska 303|85-368 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz I	kujawsko-pomorskie	ChIJgygG7HcSA0cRyh3h358QR1A	OK
bł. Michała Kozala	Solec Kujawski	http://www.soleckozal.xpc.pl/	bł. Michała Kozala|ul. Kościelna 2|86-050 Solec Kujawski|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz IV	kujawsko-pomorskie	ChIJk-OCz6o_A0cRfCEp4z0VFs4	OK
Bł. Michała Kozala	Radomsko		Bł. Michała Kozala|ul. Stara Droga 244|97-500 Radomsko|woj. łódzkie	częstochowska	NAJŚW. SERCA PANA JEZUSA W RADOMSKU	łódzkie	ChIJydy1zRVVF0cR-gDKKqJOEpI	OK
Bł. Michała Kozala	Pruszcz Gdański	http://www.kozal.pl/?Strona_g%B3%F3wna_Parafii_B%B3._Micha%B3a_Kozala_BM.%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B	Bł. Michała Kozala|Pruszcz Gdański ul. Orzeszkowej 5|83-000 Pruszcz Gdański|woj. pomorskie	gdańska	Pruszcz Gdański	pomorskie	ChIJOSX_87Vx_UYRufKiSfKZ82c	OK
Bł. Michała Kozala	Kalisz	http://www.parafiawiniary.c0.pl/	Bł. Michała Kozala|ul. Chocimska 8|62-800 Kalisz	kaliska	kaliski I		ChIJcVdo-kPEGkcRaIoOfctnzcI	OK
NOT_FOUND	Bł. Michała Kozala Preczów		Bł. Michała Kozala	Preczów	Bł. Michała Kozala|ul.Szkolna 3a|42-512 Preczów	sosnowiecka	Będzin-Trójcy Przenajświętszej			NOT_FOUND
Bł. Michała Kozala	Lipno	http://parafiakozala.pl/	Bł. Michała Kozala|ul. 3 Maja 43|87-600 Lipno|woj. kujawsko-pomorskie	włocławska	Lipno	kujawsko-pomorskie	ChIJW_5WuMKUHEcRDp4yQASchBc	OK
Bł. Michała Kozala, Biskupa i Męczennika	Morąg	http://diecezja.elblag.pl/diecezja/parafie/morag-parafia-b-michaa-kozala-biskupa-i-meczennika/	Bł. Michała Kozala, Biskupa i Męczennika|ul. Topolowa|14-300 Morąg|woj. warmińsko-mazurskie	elbląska	MORĄG	warmińsko-mazurskie	ChIJ3-EEVs6Y4kYRtKav5jlFreI	OK
Bł. Michała Kozala Biskupa i Męczennika	Ryjewo	http://parafia-kozala-ryjewo.strefa.pl/	Bł. Michała Kozala Biskupa i Męczennika|ul. Jana Pawła II 1|82-420 Ryjewo|woj. pomorskie	elbląska	SZTUM	pomorskie	ChIJN7ebvn2lAkcRR9iwKpoM7fE	OK
